t,L,v,Omega,E_v,E_Omega,P_drive,P_feedback,P_D,P_Omega,cumulative_drive,cumulative_feedback,cumulative_dissipation
2.1684737281067554,0.019072564855162472,0.046826930229485746,0.0006461779254307511,0.001096380697358563,2.0877295565699466e-07,0.00178621932754007,3.729142884621898e-10,0.0012060187670944193,3.340367290511915e-07,0.0022137022727943337,1.824930097101516e-10,0.0011175639482766647
2.1893244370308587,0.019090890529840147,0.04708418153135944,0.0006540160851581845,0.0011084600752390046,2.1386851982281884e-07,0.0017977579106046085,3.844838233407711e-10,0.0012193060827629051,3.4218963171651015e-07,0.002251066505885917,1.9038915349458607e-10,0.001142855869421557
2.2101751459549623,0.019109333586406083,0.04733926179861129,0.00066184360856885,0.001120502853818729,2.1901848110171858e-07,0.0018092434908877463,3.962577613174052e-10,0.001232553139200602,3.5042956976274975e-07,0.0022886707740415926,1.9852866125791161e-10,0.0011684245917022598
2.2310258548790656,0.019127893481152347,0.04759220065161523,0.0006696601280930475,0.0011325087814318025,2.2422234357879843e-07,0.0018206770891954509,4.0823648383962895e-10,0.0012457596595749829,3.587557497260775e-07,0.002326513982758056,2.0691579892635436e-10,0.0011942692746056696
2.2518765638031693,0.019146569680581767,0.04784302735593364,0.0006774652920615267,0.0011444776332903072,2.2947961097400483e-07,0.0018320597140007262,4.2042035045003324e-10,0.001258925396619338,3.6716737755840773e-07,0.0023645950586879583,2.1555484015122583e-10,0.0012203890721382137
2.2727272727272725,0.01916536166142009,0.04809177082231731,0.0006852587647054856,0.0011564092104131452,2.3478978730284403e-07,0.0018433923614956831,4.328097004712588e-10,0.0012720501314544598,3.756636596845505e-07,0.0024029129493832917,2.2445006586975466e-10,0.00124678313343003
2.293577981651376,0.01918426891062937,0.048338459606705464,0.000693040226156572,0.0011683033385745478,2.401523775355762e-07,0.0018546760156412667,4.4540485471445973e-10,0.0012851336724320028,3.84243804056922e-07,0.002441466623039849,2.3360576390129894e-10,0.0012734506033148323
2.3144286905754794,0.019203290925314215,0.04858312191371466,0.0007008093721889253,0.0011801598674414308,2.4556688807391785e-07,0.001865911648338142,4.5820611690327205e-10,0.001298175854185574,3.9290702091826856e-07,0.002480255068243971,2.430262285762127e-10,0.0013003906228878362
2.3352793994995826,0.019222427211906246,0.048825785623290215,0.0007085659129266123,0.0011919786708657466,2.510328264807618e-07,0.0018771002204156693,4.712137739186063e-10,0.0013111765379523214,4.016525223692189e-07,0.002519277293731396,2.5271576038211207e-10,0.001327602330057156
2.3561301084236863,0.01924167728844312,0.049066478217620474,0.0007163095788330044,0.0012037596423401123,2.5654970636395804e-07,0.0018882426790877537,4.844281048638567e-10,0.0013241356065741236,4.104795301823329e-07,0.0025585323281298892,2.626786657072004e-10,0.0013550848600465122
2.3769808173477895,0.019261040682547706,0.04930522684713386,0.0007240401143177952,0.0012155026972236647,2.621170435706629e-07,0.0018993399603297772,4.978493751372614e-10,0.0013370529669460313,4.193872697130607e-07,0.00259801921970013,2.7291925661630287e-10,0.0013828373458713665
2.397831526271893,0.019280516930812407,0.049542058350806197,0.0007317572760428228,0.001227207772817343,2.67734355520806e-07,0.0019103929896400302,5.114778358727393e-10,0.0013499285500990774,4.283749688332896e-07,0.0026377370361093237,2.8344185055927633e-10,0.00141085891884138
2.4186822351959965,0.019300105578812517,0.049776999256160685,0.0007394608329220683,0.0012388748274739106,2.734011617128995e-07,0.0019214026820807467,5.25313725399157e-10,0.0013627623102213018,4.374418587406392e-07,0.002677684864213168,2.9425077008879976e-10,0.0014391487090535144
2.4395329441200997,0.019319806181120683,0.05001007577926792,0.0007471505661216573,0.00125050383972406,2.7911698422795646e-07,0.0019323699423172283,5.39357270712335e-10,0.0013755542236964663,4.4658717476473035e-07,0.0027178618098386677,3.0535034260872763e-10,0.0014677058458649327
2.4603836530442034,0.01933961830132219,0.05024131382474588,0.0007548262690598591,0.0012620948074183007,2.8488134823141344e-07,0.0019432956646550537,5.536086889591924e-10,0.0013883042881601309,4.558101571702615e-07,0.002758266997567737,3.1674490015325997e-10,0.0014965294583460479
2.4812343619683066,0.01935954151203136,0.0504707389857599,0.0007624877474070864,0.001273647746884352,2.906937824729664e-07,0.0019541807330754365,5.68068188933493e-10,0.0014010125215727874,4.6511005195674625e-07,0.002798899570521557,3.284387791971786e-10,0.001525618675714084
2.5020850708924103,0.01937957539490882,0.05069837654402272,0.000770134819085896,0.0012851626920997565,2.965538197842329e-07,0.00196502602126873,5.827359725826553e-10,0.0014136789613097321,4.7448611165477265e-07,0.002839758690145663,3.4043632049738883e-10,0.0015549726277475093
2.5229357798165135,0.019399719540679757,0.05092425146979446,0.0007777673142709884,0.0012966396938794314,3.024609975741532e-07,0.0019758323926661226,5.976122365251215e-10,0.0014263036632673747,4.839375961186452e-07,0.002880843535995692,3.527418689659852e-10,0.0015845904451816718
2.543786488740617,0.019419973548418252,0.05114838844530854,0.0007853850740770252,0.0013080788202760863,3.084148572914872e-07,0.001986600701304227,6.126971717879117e-10,0.001438886702303695,4.934637716663796e-07,0.0029221533055324976,3.653597735564048e-10,0.0016144712600997169
2.5646371976647204,0.019440337026726824,0.051370811827456724,0.000792987954277684,0.0013194801539059837,3.144149478147531e-07,0.0019973317905246464,6.279909706865541e-10,0.0014514281692965822,5.03063916503605e-07,0.0029636872139126983,3.782943872185655e-10,0.0016446142062974693
2.5854879065888237,0.01946080959379621,0.05159154564679113,0.00080057582416282,0.0013308437911124665,3.2046082511698925e-07,0.002008026492963696,6.434938267919202e-10,0.0014639281702237134,5.127373201871828e-07,0.003005444493765579,3.915500669253885e-10,0.0016750184196081131
